"city","county","state",fips
"aaronsburg","centre","PA",42027
"abbeville","henry","AL",1067
"abbeville","wilcox","GA",13315
"abbeville","vermilion parish","LA",22113
"abbeville","lafayette","MS",28071
"abbeville","abbeville","SC",45001
"abbot","piscataquis","ME",23021
"abbotsford","clark","WI",55019
"abbott","hill","TX",48217
"abbottstown","adams","PA",42001
"abbyville","reno","KS",20155
"abell","st. mary's","MD",24037
"abercrombie","richland","ND",38077
"aberdeen","bingham","ID",16011
"aberdeen","butler","KY",21031
"aberdeen","harford","MD",24025
"aberdeen","monroe","MS",28095
"aberdeen","moore","NC",37125
"aberdeen","brown","OH",39015
"aberdeen","brown","SD",46013
"aberdeen","grays harbor","WA",53027
"aberdeen proving ground","harford","MD",24025
"abernant","tuscaloosa","AL",1125
"abernathy","hale","TX",48189
"abie","butler","NE",31023
"abilene","dickinson","KS",20041
"abilene","taylor","TX",48441
"abingdon","knox","IL",17095
"abingdon","harford","MD",24025
"abingdon","washington","VA",51191
"abington","windham","CT",9015
"abington","plymouth","MA",25023
"abington","montgomery","PA",42091
"abiquiu","rio arriba","NM",35039
"abita springs","st. tammany parish","LA",22103
"abrams","oconto","WI",55083
"absaraka","cass","ND",38017
"absarokee","stillwater","MT",30095
"absecon","atlantic","NJ",34001
"acampo","san joaquin","CA",6077
"accident","garrett","MD",24023
"accokeek","prince george's","MD",24033
"accomac","accomack","VA",51001
"accord","plymouth","MA",25023
"accord","ulster","NY",36111
"accoville","logan","WV",54045
"ace","polk","TX",48373
"achille","bryan","OK",40013
"achilles","gloucester","VA",51073
"ackerly","martin","TX",48115
"ackerman","choctaw","MS",28019
"ackermanville","northampton","PA",42095
"ackley","hardin","IA",19083
"ackworth","warren","IA",19181
"acme","concordia parish","LA",22029
"acme","grand traverse","MI",26055
"acme","westmoreland","PA",42129
"acme","whatcom","WA",53073
"acosta","somerset","PA",42111
"acra","greene","NY",36039
"acton","los angeles","CA",6037
"acton","middlesex","MA",25027
"acton","york","ME",23031
"acton","yellowstone","MT",30111
"acushnet","bristol","MA",25005
"acworth","cobb","GA",13067
"acworth","sullivan","NH",33019
"ada","kent","MI",26081
"ada","norman","MN",27107
"ada","hardin","OH",39065
"ada","pontotoc","OK",40123
"adah","fayette","PA",42051
"adair","adair","IA",19001
"adair","mcdonough","IL",17109
"adair","mayes","OK",40097
"adairsville","bartow","GA",13015
"adairville","logan","KY",21141
"adak","aleutians west census area","AK",NULL
"adamant","washington","VT",50023
"adams","lawrence","KY",21127
"adams","berkshire","MA",25003
"adams","mower","MN",27099
"adams","walsh","ND",38099
"adams","gage","NE",31067
"adams","jefferson","NY",36045
"adams","texas","OK",40139
"adams","umatilla","OR",41059
"adams","montgomery","TN",47147
"adams","adams","WI",55001
"adams basin","monroe","NY",36055
"adams center","jefferson","NY",36045
"adams run","charleston","SC",45019
"adamsburg","westmoreland","PA",42129
"adamstown","frederick","MD",24021
"adamstown","lancaster","PA",42071
"adamsville","jefferson","AL",1073
"adamsville","muskingum","OH",39119
"adamsville","crawford","PA",42039
"adamsville","newport","RI",44005
"adamsville","mcnairy","TN",47109
"addieville","washington","IL",17189
"addington","jefferson","OK",40067
"addis","west baton rouge parish","LA",22121
"addison","winston","AL",1133
"addison","dupage","IL",17043
"addison","washington","ME",23029
"addison","lenawee","MI",26091
"addison","steuben","NY",36101
"addison","somerset","PA",42111
"addison","dallas","TX",48113
"addy","stevens","WA",53065
"addyston","hamilton","OH",39061
"adel","cook","GA",13075
"adel","dallas","IA",19049
"adel","lake","OR",41037
"adelanto","san bernardino","CA",6071
