index,"city","state","population","violent_crime",murder,"rape_revised_definition",rape_legacy_definition,"robbery","aggravated_assault","violent_crime_rate_per_100_000",murder_rate_per_100_000_people,"rape_new_rate","rape_old_rate","robbery_rate","aggravated_assault_rate"
0,"new york","NY","8,473,938","50,564",333,"2,190",NULL,"16,581","31,460","596.7",3.93,"25.84","0","195.67","371.26"
1,"los angeles","CA","3,906,772","19,171",260,"1,126",NULL,"7,949","9,836","490.71",6.66,"28.82","0","203.47","251.77"
2,"chicago","IL","2,724,121","24,089",411,"1,343",NULL,"9,804","12,531","884.29",15.09,"49.3","0","359.9","460"
3,"houston","TX","2,219,933","22,008",242,"812",NULL,"10,186","10,768","991.38",10.9,"36.58","0","458.84","485.06"
4,"philadelphia","PA","1,559,062","15,925",248,"1,207",NULL,"6,970","7,500","1,021.45",15.91,"77.42","0","447.06","481.06"
5,"las vegas metropolitan police department","NV","1,530,899","12,876",122,"780",NULL,"4,885","7,089","841.07",7.97,"50.95","0","319.09","463.06"
6,"phoenix","AZ","1,529,852","8,749",114,"1,006",NULL,"2,952","4,677","571.89",7.45,"65.76","0","192.96","305.72"
7,"san antonio","TX","1,428,465","7,704",103,"1,077",NULL,"1,777","4,747","539.32",7.21,"75.4","0","124.4","332.31"
8,"san diego","CA","1,368,690","5,214",32,NULL,371,"1,318","3,493","380.95",2.34,"0","27.11","96.3","255.21"
9,"dallas","TX","1,272,396","8,457",116,"781",NULL,"3,856","3,704","664.65",9.12,"61.38","0","303.05","291.1"
10,"san jose","CA","1,009,679","3,242",32,NULL,306,"1,072","1,832","321.09",3.17,"0","30.31","106.17","181.44"
11,"austin","TX","903,924","3,581",32,"571",NULL,"873","2,105","396.16",3.54,"63.17","0","96.58","232.87"
12,"indianapolis","IN","858,238","10,768",136,"573",NULL,"3,808","6,251","1,254.66",15.85,"66.76","0","443.7","728.35"
13,"charlotte-mecklenburg","NC","856,916","5,054",47,NULL,210,"1,586","3,211","589.79",5.48,"0","24.51","185.08","374.72"
14,"jacksonville","FL","856,021","5,853",96,"479",NULL,"1,419","3,859","683.74",11.21,"55.96","0","165.77","450.81"
15,"san francisco","CA","850,294","6,761",45,"355",NULL,"3,224","3,137","795.14",5.29,"41.75","0","379.16","368.93"
16,"columbus","OH","830,811","4,563",83,"738",NULL,"2,098","1,644","549.22",9.99,"88.83","0","252.52","197.88"
17,"detroit","MI","684,694","13,616",298,"557",NULL,"3,570","9,191","1,988.63",43.52,"81.35","0","521.4","1,342.35"
18,"el paso","TX","680,273","2,671",21,"335",NULL,"415","1,900","392.64",3.09,"49.24","0","61","279.3"
19,"louisville metro","KY","677,710","4,005",56,"184",NULL,"1,531","2,234","590.96",8.26,"27.15","0","225.91","329.64"
20,"denver","CO","665,353","3,983",31,"448",NULL,"1,091","2,413","598.63",4.66,"67.33","0","163.97","362.66"
21,"seattle","WA","663,410","4,001",26,"154",NULL,"1,567","2,254","603.1",3.92,"23.21","0","236.2","339.76"
