index,"unnamed_0","por",jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann,"county","state"
0,"13876BIRMINGHAM,AL","196501-197812",46,53,57,65,65,67,59,62,59,66,55,49,58,"birmingham","AL"
1,"13895MONTGOMERY,AL","196501-198312",47,55,58,64,63,64,61,61,59,63,55,49,58,"montgomery","AL"
2,"26451ANCHORAGE,AK","196501-198312",43,46,51,50,51,46,43,43,41,36,35,33,43,"anchorage","AK"
3,"25309JUNEAU,AK","196501-197912",39,35,38,42,44,37,33,35,27,21,26,21,33,"juneau","AK"
4,"26617NOME,AK","196502-198312",38,56,54,52,52,43,39,34,38,35,30,36,42,"nome","AK"
5,"03103FLAGSTAFF,AZ","197204-198912",71,73,72,82,83,88,74,75,79,77,72,76,76,"flagstaff","AZ"
6,"23183PHOENIX,AZ","196501-198312",79,81,83,90,93,95,86,87,89,88,79,79,85,"phoenix","AZ"
7,"23160TUCSON,AZ","196501-198312",80,82,86,92,94,93,80,84,87,88,83,79,85,"tucson","AZ"
8,"13964FORT SMITH,AR","196501-198312",52,56,58,60,63,70,75,70,63,63,51,51,61,"fort smith","AR"
9,"13963LITTLE ROCK,AR","196501-197712",52,63,63,69,78,82,81,79,73,72,56,52,68,"little rock","AR"
10,"93193FRESNO,CA","196501-198312",44,60,74,83,91,93,96,95,93,86,59,44,76,"fresno","CA"
11,"93134LOS ANGELES,CA","196501-197712",69,70,70,78,63,63,82,85,74,74,70,71,72,"los angeles","CA"
12,"23232SACRAMENTO,CA","196501-198312",45,62,73,82,92,94,97,96,93,84,61,47,77,"sacramento","CA"
13,"23188SAN DIEGO,CA","196501-198312",74,73,71,72,56,57,70,72,65,70,73,75,69,"san diego","CA"
14,"23272SAN FRANCISCO,CA","196501-197412",58,66,71,77,75,69,70,69,73,71,55,55,67,"san francisco","CA"
15,"23062DENVER,CO","196501-198312",71,73,71,71,64,71,71,72,74,71,64,65,69,"denver","CO"
16,"23066GRAND JUNCTION,CO","196501-198312",59,64,63,69,72,80,78,78,79,71,60,57,69,"grand junction","CO"
17,"93058PUEBLO,CO","196501-198312",75,77,78,82,79,83,81,81,82,79,73,71,78,"pueblo","CO"
18,"14740HARTFORD,CT","196501-198312",59,61,56,59,58,61,66,63,59,57,47,50,58,"hartford","CT"
19,"13743WASHINGTON NAT'L,DC","196501-198312",47,53,54,60,61,64,64,66,62,57,49,45,56,"washington nat'l","DC"
20,"13889JACKSONVILLE,FL","196502-198312",58,61,69,74,71,66,65,63,62,60,63,59,64,"jacksonville","FL"
21,"12836KEY WEST,FL","196501-198312",74,76,84,85,82,77,79,78,74,72,71,73,77,"key west","FL"
22,"12839MIAMI,FL","197703-201412",68,70,74,81,73,73,81,77,75,72,65,66,72,"miami","FL"
23,"13899PENSACOLA,FL","196501-196912",53,56,65,67,64,66,59,56,58,71,63,47,60,"pensacola","FL"
24,"12842TAMPA,FL","196501-201012",66,68,75,80,77,70,67,65,65,67,66,62,69,"tampa","FL"
