index,"unnamed_0","por",jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann,"county","state"
0,"13876BIRMINGHAM,AL","193001-201512",-6,3,2,26,36,42,54,51,37,27,5,1,-6,"birmingham","AL"
1,"03856HUNTSVILLE,AL","195809-201512",-11,1,6,25,36,45,53,51,37,28,15,-3,-11,"huntsville","AL"
2,"13894MOBILE,AL","194801-201512",3,11,21,32,43,49,62,59,42,30,22,8,3,"mobile","AL"
3,"13895MONTGOMERY,AL","194801-201512",0,10,17,28,40,49,59,56,39,26,13,5,0,"montgomery","AL"
4,"26451ANCHORAGE,AK","195204-201512",-34,-28,-24,-4,17,33,36,31,19,-5,-21,-30,-34,"anchorage","AK"
5,"25308ANNETTE,AK","194102-201512",-4,2,1,21,30,37,40,40,30,18,-3,1,-4,"annette","AK"
6,"27502BARROW,AK","190109-201512",-53,-56,-52,-42,-19,4,22,20,1,-32,-40,-55,-56,"barrow","AK"
7,"26615BETHEL,AK","192308-201512",-52,-45,-42,-31,-5,28,30,28,18,-6,-31,-44,-52,"bethel","AK"
8,"26533BETTLES,AK","195105-201512",-70,-64,-56,-37,-10,27,29,15,0,-35,-57,-59,-70,"bettles","AK"
9,"26415BIG DELTA,AK","191905-201512",-63,-60,-49,-37,-1,26,32,22,-2,-39,-47,-62,-63,"big delta","AK"
10,"25624COLD BAY,AK","195003-201512",-13,-5,-13,4,18,27,33,32,26,6,1,-9,-13,"cold bay","AK"
11,"26411FAIRBANKS,AK","192912-201512",-66,-58,-49,-32,-1,29,34,23,3,-28,-46,-62,-66,"fairbanks","AK"
12,"26425GULKANA,AK","190705-201512",-60,-65,-48,-42,5,22,29,20,2,-23,-44,-65,-65,"gulkana","AK"
13,"25507HOMER,AK","193209-201511",-24,-19,-21,-9,6,27,34,31,20,0,-7,-16,-24,"homer","AK"
14,"25309JUNEAU,AK","193611-201512",-22,-22,-15,6,25,31,36,27,23,11,-5,-21,-22,"juneau","AK"
15,"25503KING SALMON,AK","194202-201512",-48,-43,-42,-19,4,27,31,25,15,-12,-28,-38,-48,"king salmon","AK"
16,"25501KODIAK,AK","194901-201512",-16,-12,-6,7,20,30,37,34,26,10,0,-3,-16,"kodiak","AK"
17,"26616KOTZEBUE,AK","189710-201512",-55,-52,-58,-44,-18,20,30,26,13,-19,-37,-49,-58,"kotzebue","AK"
18,"26510MCGRATH,AK","194106-201512",-75,-64,-51,-40,-2,27,31,25,2,-28,-53,-67,-75,"mcgrath","AK"
19,"26617NOME,AK","190009-201512",-54,-42,-46,-30,-11,20,28,23,9,-10,-39,-41,-54,"nome","AK"
